feature,mean_signed_shap,mean_abs_shap,direction,class
Access to electricity (% of population),0.42745876,0.42745876,increases_default_risk,NO_DEFAULT
"Access to electricity, urban (% of urban population)",0.29925713,0.29925713,increases_default_risk,NO_DEFAULT
Consumer price index (2010 = 100),0.27139422,0.27139422,increases_default_risk,DEFAULT_FISCAL_ARREARS
Import volume index (2015 = 100),0.13907826,0.13907826,increases_default_risk,DEFAULT_FISCAL_ARREARS
"Access to electricity, rural (% of rural population)",0.1291035,0.1291035,increases_default_risk,NO_DEFAULT
Import value index (2015 = 100),0.11971559,0.11971559,increases_default_risk,NO_DEFAULT
GDP deflator (base year varies by country),0.09807857,0.09807857,increases_default_risk,DEFAULT_CHINA
GDP deflator (base year varies by country),0.06487033,0.06487033,increases_default_risk,DEFAULT_FISCAL_ARREARS
Export value index (2015 = 100),0.052101463,0.052101463,increases_default_risk,DEFAULT_OTHER_OFFICIAL_CREDITORS
Net foreign assets (current LCU),0.04545363,0.04545363,increases_default_risk,DEFAULT_FISCAL_ARREARS
Adjusted net national income (current US$),0.042146657,0.042146657,increases_default_risk,DEFAULT_IMF
Import unit value index (2015 = 100),0.041423015,0.041423015,increases_default_risk,DEFAULT_CHINA
Number of deaths ages 20-24 years,0.04039844,0.04039844,increases_default_risk,DEFAULT_FC_BONDS
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",0.04032608,0.04032608,increases_default_risk,NO_DEFAULT
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",0.036720164,0.036720164,increases_default_risk,DEFAULT_FC_BONDS
Political Stability and Absence of Violence/Terrorism: Standard Error,0.034709577,0.034709577,increases_default_risk,DEFAULT_FISCAL_ARREARS
GNI (current US$),0.032723587,0.032723587,increases_default_risk,NO_DEFAULT
Fixed broadband subscriptions,0.031758316,0.031758316,increases_default_risk,DEFAULT_IDA
Net secondary income (Net current transfers from abroad) (current LCU),0.030832278,0.030832278,increases_default_risk,DEFAULT_IADB
Import value index (2015 = 100),0.030795977,0.030795977,increases_default_risk,DEFAULT_CHINA
Trained teachers in secondary education (% of total teachers),0.029748814,0.029748814,increases_default_risk,NO_DEFAULT
Broad money (current LCU),0.02937632,0.02937632,increases_default_risk,DEFAULT_FC_BONDS
Total reserves minus gold (current US$),0.027099054,0.027099054,increases_default_risk,DEFAULT_CHINA
Voice and Accountability: Standard Error,0.026648443,0.026648443,increases_default_risk,DEFAULT_CHINA
Gross national expenditure deflator (base year varies by country),0.026539234,0.026539234,increases_default_risk,DEFAULT_FC_BONDS
Women Business and the Law Index Score (scale 1-100),0.02651591,0.02651591,increases_default_risk,DEFAULT_FC_BONDS
